date,ward,revenue_stream,collector_id,expected_revenue,actual_revenue,transactions,revenue_gap,deviation_pct,is_round_number,average_transaction
2025-01-01,Ward 1,Beer Hall Levies,COL-004,12812.2,12315.3,290,-496.9,-3.88,False,42.47
2025-01-01,Ward 1,Business Licenses,COL-003,42593.75,43296.46,284,702.71,1.65,False,152.45
2025-01-01,Ward 1,Market Fees,COL-002,15138.0,16050.62,1376,912.62,6.03,False,11.66
2025-01-01,Ward 1,Property Rates,COL-001,77952.0,74477.48,882,-3474.52,-4.46,False,84.44
2025-01-01,Ward 2,Beer Hall Levies,COL-008,9719.6,9610.77,194,-108.83,-1.12,False,49.54
2025-01-01,Ward 2,Business Licenses,COL-007,32312.5,30695.27,198,-1617.23,-5.0,False,155.03
2025-01-01,Ward 2,Market Fees,COL-006,11484.0,11680.11,993,196.11,1.71,False,11.76
2025-01-01,Ward 2,Property Rates,COL-005,59136.0,58644.01,661,-491.99,-0.83,False,88.72
2025-01-01,Ward 3,Beer Hall Levies,COL-012,7510.6,6800.06,160,-710.54,-9.46,False,42.5
2025-01-01,Ward 3,Business Licenses,COL-011,24968.75,25435.35,167,466.6,1.87,False,152.31
2025-01-01,Ward 3,Market Fees,COL-010,8874.0,7620.41,803,-1253.59,-14.13,False,9.49
2025-01-01,Ward 3,Property Rates,COL-009,45696.0,43003.86,546,-2692.14,-5.89,False,78.76
2025-01-01,Ward 4,Beer Hall Levies,COL-016,10603.2,10255.73,243,-347.47,-3.28,False,42.2
2025-01-01,Ward 4,Business Licenses,COL-015,35250.0,32610.0,244,-2640.0,-7.49,False,133.65
2025-01-01,Ward 4,Market Fees,COL-014,12528.0,12311.2,1006,-216.8,-1.73,False,12.24
2025-01-01,Ward 4,Property Rates,COL-013,64512.0,66876.28,772,2364.28,3.66,False,86.63
2025-01-01,Ward 5,Beer Hall Levies,COL-020,6185.2,5169.6,127,-1015.6,-16.42,False,40.71
2025-01-01,Ward 5,Business Licenses,COL-019,20562.5,18836.91,130,-1725.59,-8.39,False,144.9
2025-01-01,Ward 5,Market Fees,COL-018,7308.0,5889.26,662,-1418.74,-19.41,False,8.9
2025-01-01,Ward 5,Property Rates,COL-017,37632.0,37550.04,450,-81.96,-0.22,False,83.44
2025-01-01,Ward 6,Beer Hall Levies,COL-024,8394.2,7000.0,187,-1394.2,-16.61,True,37.43
2025-01-01,Ward 6,Business Licenses,COL-023,27906.25,27968.37,175,62.12,0.22,False,159.82
2025-01-01,Ward 6,Market Fees,COL-022,9918.0,10379.02,812,461.02,4.65,False,12.78
2025-01-01,Ward 6,Property Rates,COL-021,51072.0,49730.54,622,-1341.46,-2.63,False,79.95
2025-01-01,Ward 7,Beer Hall Levies,COL-028,9277.8,9412.83,224,135.03,1.46,False,42.02
2025-01-01,Ward 7,Business Licenses,COL-027,30843.75,27175.71,201,-3668.04,-11.89,False,135.2
2025-01-01,Ward 7,Market Fees,COL-026,10962.0,11837.77,876,875.77,7.99,False,13.51
2025-01-01,Ward 7,Property Rates,COL-025,56448.0,56243.43,615,-204.57,-0.36,False,91.45
2025-01-01,Ward 8,Beer Hall Levies,COL-032,5301.6,4987.32,128,-314.28,-5.93,False,38.96
